Program Identity,,,,Geography & Availability,,,,Income & Household,,,,,,Housing Situation,,,,,Special Eligibility,,,,,,Financial Underwriting,,,,,,Benefit & Operations,,,,,,Governance & Verification,,,,Contact,,,,,Research Summary,,,,Source & Quality,,,,,,Forms,,
Program ID,Program Name,Category,Administrator,Eligible Counties,Eligible ZIP Codes,Application Status,Application Window,AMI Min %,AMI Max %,Income Standard,Household Size Used?,Household Composition Rule,Asset Limit,Eligible Tenure,Primary Residence Required,Utility Account Required,Rent/Mortgage Arrears Required,Property Type Rule,First-Time Homebuyer Required,Employment / Occupation Rule,Age Rule,Disability Rule,Veteran Rule,Children / Pregnancy Rule,Credit Score Min,DTI Max %,Home Price / Rent Cap,Citizenship / Immigration Rule,Crisis / Displacement Required,Other Hard Disqualifiers,Benefit Type,Maximum Benefit,Benefit Frequency,Priority Factors,Required Documents,Application Method,Source URL,Last Verified,Verification Status,Internal Notes,Phone,Email,Address,Online schedule link,Intake Hours,Service Area Detail,Eligibility Summary,Availability / Waitlist Notes,Primary Source Type,Secondary Source URL,Research Confidence,Partner Listing Count,Partner Listing IDs,Data Gaps / Follow-Up,Research Date,Application Form URL,Form Notes,Reverification Notes
LIHEAP-OR-JACKSON-001,Low-Income Home Energy Assistance Program (LIHEAP),Utility Reduction,"ACCESS, Inc. (Community Action Agency)",Jackson,,Open,"Program year Oct 1 - Sep 30; priority intake Oct-Nov for vulnerable households, general intake thereafter until funds exhausted",0,60,60% Oregon State Median Income (SMI),Yes,All permanent household members counted; income counted for members 18 and older,,Renter; Homeowner,Yes,Yes (direct billing or landlord-paid utilities documented via Landlord Letter),No,"Single-family, manufactured/mobile home, or multi-family unit",No,"None; Employment Verification Form required if job started/ended in last 30 days, Self-Employment Worksheet required if self-employed",None (priority only: age 60+),None (priority only),,None (priority only: household with child under age 6),,,,Not specified in program materials reviewed,"No for standard Heating/Cooling benefit; Yes for Crisis component (shutoff notice, empty fuel tank, inoperative heating system)",Only one standard heating/cooling benefit per program year per household,Vendor-paid bill credit; Crisis payment; Weatherization referral,"$750 (Heating or Cooling); $1,000 (Crisis)",One standard benefit per program year; Crisis as needed,Seniors 60+; persons with disabilities; households with children under 6; documented energy crisis,"ID; Social Security cards; income/benefit documentation; utility bill or Landlord Letter; DHI, EVF, SEWS, or Child Support Statement as applicable","Phone, in-person, mail, or home visit through ACCESS",https://www.oregon.gov/ohcs/energy-weatherization/Pages/utility-bill-payment-assistance.aspx,2026-07-31,Verified,"FFY2026 income table effective Oct 1 2025; each additional household member beyond 12 adds $2,215/yr (confirmed against Pacific Power LID application, which shares the same 60% SMI table)",541-779-9020,https://accesshelps.org/contact/#email,"3630 Aviation Way, Medford, OR 97504",https://accessassistance.as.me/,8am-5pm M-T F 8am-4:30PM,Jackson county,60%ami households who need utility assistance,Open as funds allow,CCA site,www.accesshelps.org,High,,,New Program year and AMi limits september,7/31/2026,https://drive.google.com/drive/folders/1meh91lj6b45Ti6ZBD0Z6CU6OKi45prse?usp=drive_link,prismatic-sprite-9c776f.netlify.app,"Reverified 2026-08-06. Phone, address, 60% SMI standard confirmed. NOTE: the Email column contained a scheduling URL - moved to Form Notes."
OEAP-OR-JACKSON-001,Oregon Energy Assistance Program (OEAP),Utility Reduction,"ACCESS, Inc. (Community Action Agency)",Jackson,,Open,"Year-round, funding dependent",0,60,60% Oregon State Median Income (SMI) - same standard as LIHEAP,Yes,All permanent household members counted; income counted for members 18 and older,,Renter; Homeowner,Yes,Yes - must be a Pacific Power or Portland General Electric (PGE) customer,No,Any residential unit served by Pacific Power or PGE,No,,,,,,,,,Not specified in program materials reviewed,"No; purpose is to reduce/prevent disconnections generally, not limited to active crisis",Not available to customers of utilities other than Pacific Power or PGE,Vendor-paid electric bill assistance,Not fixed; varies by household need and available funding,"As needed, year-round",Households facing disconnection,ID; income documentation; utility bill,"Phone, in-person, mail, or home visit through ACCESS",https://www.oregon.gov/ohcs/energy-weatherization/Pages/utility-bill-payment-assistance.aspx,2026-07-31,Verified,Delivered by the same Jackson County CAA (ACCESS) as LIHEAP; complements LIHEAP for PP/PGE customers specifically; recipients also auto-qualify for Pacific Power's LID discount,541-779-9020,https://accessassistance.as.me/schedule/9afa74fe/?calendarIds=3692219,"3630 Aviation Way, Medford, OR 97504",https://accessassistance.as.me/schedule/9afa74fe/?calendarIds=3692219,8am-5pm M-T F 8am-4:30PM,Jackson County,60%ami households who need utility assistance,Open as funds allow,CCA site,www.accesshelps.org,High,,,New Program year and AMi limits september,7/31/2026,,,Reverified 2026-08-06. Confirmed limited to Pacific Power and PGE customers; Avista customers are NOT eligible and should be routed to Avista MED instead.
PP-LID-OR-001,Pacific Power Oregon Low-Income Discount (LID),Utility Reduction,Pacific Power (PacifiCorp),Jackson; all other Oregon counties in Pacific Power's service territory,,Open,"Continuous, year-round; re-enrollment required every 2 years",0,60,"Tiered % of Oregon State Median Income (SMI): <=5% SMI, 5-20% SMI, 20-60% SMI",Yes,All permanent residents counted; income averaged across household members 18 and older,,Renter; Homeowner (must be the billed account holder),Yes - discount applies only to the customer's permanent primary residence,Yes - Pacific Power electric account must be in the applicant's name,No,Any residence with a Pacific Power account billed directly to the resident; master-metered affordable housing may qualify separately under Special Condition 10,No,,,None for eligibility; additional PSPS (Public Safety Power Shutoff) notification support available if disability present,,,,,,Not specified in program materials reviewed,No,Account not in applicant's name; not the applicant's permanent primary residence,Percentage discount on monthly electric bill (before taxes; excludes Schedule 300 charges),"80% bill discount (top tier, household income <=5% of SMI)","Monthly, ongoing; re-enrollment every 2 years (automatic for LIHEAP/OEAP recipients)",LIHEAP or OEAP recipients auto-qualify and are placed at 20% discount by default if income/household size unknown,Pacific Power account number; self-declared household size and gross annual income (income verification requested from a random sample only),"Online application, mail-in paper application, or automatic enrollment via LIHEAP/OEAP receipt",https://www.pacificpower.net/my-account/payments/bill-payment-assistance/oregon-low-income-discount-program.html,2026-07-31,Verified,"3 discount tiers: 80% (<=5% SMI), 40% (5-20% SMI), 20% (20-60% SMI); tier cutoffs derived from published 60% SMI figures (/12 and /3); also carries non-discount protections (no late fees, no deposit, waived first field-visit fee, reduced-balance reconnection) for any income-qualified customer",1-888-221-7070,https://csapps.pacificpower.net/public/my-account/payments/or-low-income/en,NA,,Online,Pac power service area,Low Income pacific power customers,Open,Pacific power site,https://csapps.pacificpower.net/public/my-account/payments/or-low-income/en,High,,,,,https://www.pacificpower.net/content/dam/pcorp/documents/en/pacificpower/my-account/energy-assistance/oregon-lid/PP_OR_LID_App_ENGLISH.pdf,Spanish version: https://www.pacificpower.net/content/dam/pcorp/documents/en/pacificpower/my-account/energy-assistance/oregon-lid/PP_OR_LID_App_SPANISH.pdf | Apply online: PacificPower.net/LID,"Reverified 2026-08-06 against Pacific Power application form rev. 11/25 and Oregon Tariff Schedule 7. Tiers confirmed: 80% discount (<=5% SMI), 40% (5-20% SMI), 20% (20-60% SMI). LIHEAP/OEAP recipients auto-qualify at the 20% default tier."
LIHEAP-OR-Josephine-001,Low-Income Home Energy Assistance Program (LIHEAP),Utility Reduction,United Community Action Network (UCAN) - Community Action Agency for Douglas and Josephine counties,Josephine; Douglas,,Open,"Program year Oct 1 - Sep 30; priority intake Oct-Nov for vulnerable households, general intake thereafter until funds exhausted",0,60,60% Oregon State Median Income (SMI),Yes,All permanent household members counted; income counted for members 18 and older,,Renter; Homeowner,Yes,Yes (direct billing or landlord-paid utilities documented via Landlord Letter),No,"Single-family, manufactured/mobile home, or multi-family unit",No,"None; Employment Verification Form required if job started/ended in last 30 days, Self-Employment Worksheet required if self-employed",None (priority only: age 60+),None (priority only),,None (priority only: household with child under age 6),,,,Not specified in program materials reviewed,"No for standard Heating/Cooling benefit; Yes for Crisis component (shutoff notice, empty fuel tank, inoperative heating system)",Only one standard heating/cooling benefit per program year per household,Vendor-paid bill credit; Crisis payment; Weatherization referral,"$750 (Heating or Cooling); $1,000 (Crisis)",One standard benefit per program year; Crisis as needed,Seniors 60+; persons with disabilities; households with children under 6; documented energy crisis,Proof of income (e.g. pay stubs) for the month prior to the appointment; additional documents as requested at intake,"Schedule an appointment by calling 800-301-8226 or booking online at ucancap.org/utility-bill/. UCAN staff complete the application with the applicant during the appointment; the form is then signed in person, by mail, or by email.",https://www.ucancap.org/utility-bill/,2026-08-06,Verified,"UCAN is the Community Action Agency counterpart to ACCESS, covering Josephine and Douglas rather than Jackson. UCAN also administers OEAP, Weatherization, and SSVF for these counties - each is a candidate for its own row. A Josephine County applicant should be routed to UCAN, NOT to ACCESS.",800-301-8226 (800-301-UCAN); Grants Pass office (541) 956-4050,https://utilityassistance.as.me/schedule/1bf51586 info@ucancap.org,"900 SE 8th St., Grants Pass, OR 97526 (Grants Pass office)",,Mon-Fri 9:00am-12:00pm and 1:00pm-5:00pm (Grants Pass); closed daily 12:00-1:00pm for lunch,Douglas and Josephine counties. Outreach appointments also held periodically outside Roseburg and Grants Pass.,60%ami households who need utility assistance,Open as funds allow; appointment-based intake,Agency (UCAN) official page,https://www.ucancap.org/josephine-county-programs/,High,,,New Program year and AMi limits september,2026-08-06,https://www.ucancap.org/utility-bill/,No downloadable applicant PDF - UCAN staff complete the form with the applicant at the appointment. The link above is the scheduling and program information page.,"Reverified 2026-08-06 against UCAN's own site. Added phone, address, hours, service area, application method, and required documents (all previously blank or partial)."
AVISTA-MED-OR-001,My Energy Discount - Oregon (formerly My Energy Rate),Utility Reduction,"Avista Corporation, in partnership with local Community Action Agencies for verification",Jackson; Union; Klamath; Douglas; Josephine (Avista Oregon electric/natural gas service territory),,Open,"Continuous, year-round; no application deadline",0,60,"60% Oregon State Median Income (SMI), effective 10/1/2025",Yes,All household members counted (adults and children); income counted for household members over 18,,Renter; Homeowner,Not explicitly stated; must be a residential Oregon service address,Yes - must be the Avista account holder or a co-tenant financially responsible for the account,"No (separate past-due assistance auto-enrollment offered, opt-out available)",Residential Avista premise in Oregon only,No,"None; application asks what portion of income is from employment vs. fixed income (SSI, SSDI, pension, veterans pay, other private disability)",None (senior 60+ status collected as voluntary demographic data only),None for eligibility (voluntary demographic data; fixed-income question references disability income sources),None for eligibility (voluntary demographic data only),,,,,Not specified in program materials reviewed,No,Commercial premises not eligible,Personalized ongoing monthly bill discount (percentage/amount not publicly tiered; based on household size and income),Not published as a fixed amount or percentage; individually calculated per household,"Monthly, ongoing for 2 years; re-enrollment required after 2 years (reminder sent)","None (formula-based eligibility, not a competitive/limited fund)",None required at initial application (self-declared income and household size only); random sample of enrollees may later be asked to verify income,"Online (signed in or as guest), phone, mail-in paper application, or in-person through local Community Action Agency",https://www.myavista.com/your-account/power-of-compassion/oregonassistance/my-energy-discount-or,2026-07-31,Verified,"No paperwork required to apply, unlike LIHEAP/ACCESS forms; can be received simultaneously with LIHEAP/OEAP (discount applies to balance remaining after energy assistance payment); discount covers usage cost, basic charge, and franchise fees only - excludes My Clean Energy, Project Share, Energy Smart Loan charges, late fees, and write-offs; also grants reduced-fee and flexible-reconnection protections, same as Pacific Power's LID, for enrollees or medical-certificate holders; publishes per-additional-member increment as $2,214/yr, $1 off Pacific Power's $2,215/yr figure for the same SMI table - likely independent rounding, not a substantive difference; Jackson County in-person applications go through ACCESS, (541) 779-9020, the same agency administering LIHEAP/OEAP locally",(800) 227-9187 (residential); (800) 936-6629 (business); TTY dial 711,ask@myavista.com,"Mail-in My Energy Discount – Oregon applications specifically: Avista, Lobby Rep, MSC-34, PO Box 3727, Spokane, WA 99220-3727",,Can apply at access,Avista customers,Low Income Avista customers,Open,Avista site,https://www.myavista.com/your-account/power-of-compassion/oregonassistance,High,,,,,https://www.myavista.com/your-account/power-of-compassion/oregonassistance/my-energy-discount-or,"No downloadable applicant PDF - apply online, by phone, by mail, or in person via ACCESS. Mail-in: Avista, Lobby Rep, MSC-34, PO Box 3727, Spokane, WA 99220-3727. NO documentation required at initial application (self-declared income and household size).","CORRECTED 2026-08-06: the Phone column previously contained an email address. Actual phone numbers added. Also note Avista publishes the per-additional-member increment as $2,214/yr vs Pacific Power's $2,215/yr for the same 60% SMI table - likely independent rounding, not a substantive difference."
UCAN-OEAP-OR-001,Oregon Energy Assistance Program (OEAP) - Josephine/Douglas,Utility Reduction,United Community Action Network (UCAN),Josephine; Douglas,,Open,"Year-round, funding dependent",0,60,60% Oregon State Median Income (same standard as LIHEAP),Yes,,,Renter; Homeowner,,Yes - must be a Pacific Power customer,,,,,,,,,,,,,,,"Electric bill payment assistance to prevent shutoff. Also includes a conservation kit: CFL bulb, kitchen and bathroom sink aerators, outlet safety caps, foam outlet covers, refrigerator thermometer, low-flow shower head, temperature/humidity light switch cover, LED night light, and in some cases window kits.",Not published - varies by need and funding,"As needed, year-round",,Proof of income for the month prior to the appointment,Schedule an appointment by calling 800-301-8226 or booking online at ucancap.org/utility-bill/,https://www.ucancap.org/utility-bill/,2026-08-06,Verified against UCAN's utility assistance materials,Josephine/Douglas counterpart to the ACCESS-delivered OEAP row for Jackson County. Limited to Pacific Power customers - Avista customers in Josephine County should be routed to Avista MED instead.,800-301-8226 (800-301-UCAN); Grants Pass (541) 956-4050,,"900 SE 8th St., Grants Pass, OR 97526",,Mon-Fri 9:00am-12:00pm and 1:00pm-5:00pm; closed 12:00-1:00pm,Josephine and Douglas counties,Pacific Power customer in Josephine or Douglas County at or below 60% SMI,Open as funds allow; appointment-based,Agency (UCAN) official page,,Medium-High,1,UCAN,,2026-08-06,https://www.ucancap.org/utility-bill/,"No downloadable applicant form - UCAN staff complete the application with the applicant at a scheduled appointment; form is then signed in person, by mail, or by email.",NEW ROW added 2026-08-06. The sheet had OEAP for Jackson only.
ACCESS-HOAP-OR-001,Home Ownership Assistance Program (HOAP),Down Payment Assistance,"Oregon Housing and Community Services (OHCS), delivered locally by ACCESS Homeownership Center",Jackson; Josephine,,Open,"Continuous, funding dependent",0,100,Household income at or below 100% of Area Median Income (AMI); first-time AND first-generation homebuyers,Yes (implied by HUD median income limit structure),Not specified in program materials reviewed,,Prospective homeowner (first-time homebuyer),Yes,No,No,Real property located in Jackson or Josephine County; must be buyer's primary residence,Yes - must not have owned a home in the past 3 years,"Must be pre-approved by a lender for a conforming conventional, government-insured, or government-guaranteed mortgage",,,,,Not specified in program materials reviewed (set by partner lender's mortgage approval),55% (per third-party program summary; not confirmed directly on ACCESS or OHCS page),Not specified on source page,Not specified in program materials reviewed,No,Must complete required homebuyer education AND individual pre-purchase counseling with a Certified Homeownership Counselor at ACCESS within the last 18 months before applying,Down payment and closing cost assistance (loan structure not specified on ACCESS page; a third-party summary describes a 30-year loan up to 20% of the home's sale price),"Up to $60,000 or 20% of the purchase price, whichever is less","One-time, at purchase",,Completion certificate for 'Realizing the American Dream' or 'eHome America' homebuyer education course; individual pre-purchase counseling certificate (within 18 months); mortgage pre-approval letter; accepted purchase offer,"Buyer's lender submits a grant application to ACCESS once education, counseling, and mortgage pre-approval are complete and an offer is accepted",https://accesshelps.org/homeownership/,2026-07-31,"Verified against ACCESS's official homeownership page for local process, and OHCS's statewide Down Payment Assistance page for the income and benefit figures (HOAP appears to be ACCESS's local delivery of this statewide OHCS fund)","Buyer must contribute a minimum of $500 of their own funds; funded in part by OHCS's statewide Homeownership Down Payment Assistance fund and Construction Excise Tax (CET) proceeds; ACCESS is the only certified HUD Housing Counseling Agency in Jackson County; contact ACCESS Homeownership Center (541) 774-4305 or hocinfo@accesshelps.org. Updated 2026-07-31: income and benefit figures corrected using OHCS's statewide DPA page (oregon.gov/ohcs/homeownership/homebuyers), which was not found in the original pass.",(541) 774-4305,hocinfo@accesshelps.org,"3630 Aviation Way, Medford, OR 97504",https://accesshelps.org/wp-content/uploads/Homeownership-Intake-form.pdf,Mon-Thu 7:30am-6:00pm; Fri 8:00am-4:30pm (Homeownership Center),Jackson & Josephine County,First-time buyer; <=100% AMI; homebuyer education + pre-purchase counseling required,Funding-dependent; competitive; apply early in the homebuying timeline,Agency (ACCESS) official page,https://accesshelps.org/homeownership/,High,1,ACCESS-HOC,"Confirm current $60,000/20%-of-price cap directly with ACCESS each program year",2026-07-31,https://accesshelps.org/wp-content/uploads/Homeownership-Intake-form.pdf,"ACCESS Homeownership Center Intake Form - the same form covers HOAP, RVAR/OAR, and the ACCESS-delivered IDA track.","CORRECTED 2026-08-06: income standard and benefit cap were previously unspecified/third-party sourced. Now set from OHCS's statewide Down Payment Assistance page (100% AMI, $60,000 or 20% cap). HOAP appears to be ACCESS's local delivery of that statewide OHCS fund."
ACCESS-RVAR-OAR-OR-001,RVAR/OAR HOME Foundation First-Time Homebuyer Assistance Program,Down Payment Assistance,"Rogue Valley Association of Realtors / Oregon Association of Realtors HOME Foundation, delivered locally by ACCESS Homeownership Center",Jackson; Josephine,,Open,"Continuous, funding dependent",0,100,Household income does not exceed the State of Oregon Median Income Limit per HUD guidelines,Yes (implied by HUD median income limit structure),Not specified in program materials reviewed,,Prospective homeowner (first-time homebuyer),Yes,No,No,Real property located in Jackson or Josephine County; must be buyer's primary residence,Yes - must not have owned a home in the past 3 years,"Must be pre-approved by a lender for a conforming conventional, government-insured, or government-guaranteed mortgage",,,,,,,,Not specified in program materials reviewed,No,Must work with a local Realtor who is an active member of Southern Oregon Multiple Listing Service; must complete homebuyer education AND individual pre-purchase counseling with a Certified Homeownership Counselor at ACCESS within the last 18 months,"Non-repayable grant toward down payment, closing costs, or prepaid items","$2,500","One-time, at purchase",,Completion certificate for 'Realizing the American Dream' or 'eHome America' homebuyer education course; individual pre-purchase counseling certificate (within 18 months); mortgage pre-approval letter; accepted purchase offer working with a qualifying Realtor,"Buyer's lender submits a grant application to ACCESS once education, counseling, and mortgage pre-approval are complete and an offer is accepted",https://accesshelps.org/homeownership/,2026-07-31,Verified directly against ACCESS's official homeownership page,"Homebuyer must contribute a minimum of $500 of their own funds toward the purchase; funded by the RVAR/OAR HOME Foundation (a Realtor-association charitable fund), not a government agency; shares the same education/counseling prerequisites as HOAP, so a household completing those once may qualify for both grants",(541) 774-4305,hocinfo@accesshelps.org,"3630 Aviation Way, Medford, OR 97504",,Mon-Thu 7:30am-6:00pm; Fri 8:00am-4:30pm,Jackson & Josephine County,First-time buyer; income <= state median; must work with a Southern Oregon MLS Realtor,Funding-dependent; shares ACCESS intake process with HOAP,Agency (ACCESS) official page,https://accesshelps.org/homeownership/,High,1,ACCESS-HOC,None significant,2026-07-31,https://accesshelps.org/wp-content/uploads/Homeownership-Intake-form.pdf,Same ACCESS Homeownership Center Intake Form as HOAP - a household completing HOAP prerequisites can apply for both with no duplicate paperwork.,"Reverified 2026-08-06. $2,500 grant and Southern Oregon MLS Realtor requirement confirmed against ACCESS's homeownership page."
OHCS-REOREGON-DPA-001,ReOregon Down Payment Assistance (DPA) Program,Down Payment Assistance,"Oregon Housing and Community Services (OHCS) ReOregon, delivered locally by ACCESS Center for Community Resilience",Clackamas; Douglas; Jackson; Klamath; Lane; Lincoln; Linn; Marion,,"Open (funding status varies by county - some counties marked ""limited"")","Continuous while county funding is ""available"" or ""limited""; closes when a county's funds are exhausted",0,80,Household income at or below 80% of area median income (AMI) for the household's county,Yes,Not specified in program materials reviewed,,Prospective homeowner (first-time homebuyer),Yes,No,No,"Single-family home, townhome, condo, or manufactured home in one of the 8 eligible counties","Yes - has not owned a home in the past 3 years, OR is a single parent/displaced spouse who only owned a home jointly with a former spouse",,,,,,,Total monthly debts must be less than 50% of income,Loan covers eligible costs only; buyer must still secure an affordable mortgage from a lender for the remainder,Not specified in program materials reviewed,Yes - must have lived in an eligible county at the time of the 2020 Labor Day wildfires or straight-line winds,Must not sign a purchase agreement or make an offer before DPA approval; must spend 20-30% of monthly income on housing costs after purchase,30-year forgivable loan (1/30th forgiven each year; fully forgiven after 30 years if the buyer stays in the home),"Up to $150,000 (actual amount based on remaining need after an affordable mortgage)","One-time, at purchase",Households with verified home losses from the 2020 wildfires are prioritized when funds are limited,Housing Support Services application; proof of 2020 residency in an eligible county; income documentation; first-time homebuyer certification,Submit a Housing Support Services application to the community action agency closest to the applicant (ACCESS for Jackson County),https://www.oregon.gov/ohcs/disaster-recovery/reoregon/housing-support-services/Pages/down-payment-assistance-program.aspx,2026-07-31,Verified directly against OHCS's official ReOregon program page,"CONFLICT FLAG: ACCESS's own homeownership page states this program uses an 80% AMI threshold and names the 2020 Almeda and Obenchain fires specifically, while OHCS's official ReOregon program page states 120% AMI and covers the broader 2020 Labor Day wildfires/straight-line winds across 8 counties. Used the OHCS figure (120% AMI) as the more authoritative, program-specific source, but this should be reconciled before quoting an exact AMI threshold to a client. Local intake in Jackson County goes through ACCESS Center for Community Resilience at (541) 414-0318 or ccr@accesshelps.org rather than the general Homeownership Center line.",877-510-6800 (statewide); (541) 414-0318 (ACCESS Center for Community Resilience),reoregon@hcs.oregon.gov; ccr@accesshelps.org,"OHCS: 725 Summer St NE Suite B, Salem, OR 97301; ACCESS CCR: 3630 Aviation Way, Medford, OR 97504 (CCR-specific address not separately confirmed)",,Not specifically published for CCR; assume standard ACCESS business hours pending confirmation,"8 counties: Clackamas, Douglas, Jackson, Klamath, Lane, Lincoln, Linn, Marion - Josephine NOT included",Lived in an eligible county during the 2020 Labor Day wildfires; <=120% AMI; first-time buyer,"Funding status varies ""available""/""limited"" by county; related IHA program has a 6/30/2026 deadline",State (OHCS) official page,https://www.oregon.gov/ohcs/disaster-recovery/reoregon/housing-support-services/Pages/down-payment-assistance-program.aspx,High,1,ACCESS-CCR,CONFLICT: ACCESS's own page cites 80% AMI vs. OHCS's 120% AMI - used the lower Access  figure,2026-07-31,https://www.oregon.gov/ohcs/disaster-recovery/reoregon/housing-support-services/Documents/hss-application-english.pdf,"Housing Support Services Application (English). A separate required-documents checklist PDF is published on OHCS's ""Preparing to Apply"" page. Local Jackson County intake runs through ACCESS Center for Community Resilience, (541) 414-0318, ccr@accesshelps.org.",CONFLICT UNRESOLVED as of 2026-08-06: ACCESS's own page states 80% AMI and names the Almeda/Obenchain fires specifically; OHCS's official ReOregon page states 120% AMI across 8 counties from the 2020 Labor Day wildfires. Used the OHCS figure as the more authoritative program-specific source. Confirm before quoting an AMI threshold to a client.
OHCS-BOND-OR-001,OHCS Flex Lending Program (FirstHome / NextStep) - formerly Oregon Bond Residential Loan,Down Payment Assistance,"Oregon Housing and Community Services (OHCS), delivered through OHCS-approved private lenders","Statewide, including Jackson",,Open,Continuous; subject to bond funding availability,0,,"Household income limit varies by county, household size, and whether the area is a HUD-designated 'targeted area'; published and updated periodically by OHCS (sources reviewed cite figures roughly in the $99,000-$165,000/yr range depending on area/family size, but the exact current table should be confirmed directly with OHCS)",Yes,Not specified in program materials reviewed,,Prospective homeowner (first-time homebuyer; repeat buyers allowed only in HUD-designated targeted areas),Yes - cannot be rented out,No,No,Single-family home in Oregon; manufactured homes allowed only if built after June 1976 and not on leased land in a park,"Yes, unless purchasing in a HUD-designated targeted area",,,,,,"Set by individual OHCS-approved lender's underwriting standards, not published by OHCS itself","Set by individual lender per standard mortgage underwriting (Conventional, FHA, VA, or USDA)","Purchase price limit varies by county and targeted-area status; sources reviewed cite figures roughly in the $481,000-$865,000 range depending on area, but the exact current limit should be confirmed directly with OHCS",Not specified in program materials reviewed,No,Must use an OHCS-approved lender; Cash Advantage funds cannot be used toward the minimum borrower investment required for FHA or Conventional loans,First mortgage loan with either a reduced fixed interest rate (Rate Advantage) or a 3% cash grant toward closing costs/pre-paids plus a reduced rate (Cash Advantage),"Cash Advantage: 3% of the loan amount as a non-repayable grant, plus a reduced interest rate on the first mortgage","One-time, at purchase (ongoing benefit via the reduced mortgage rate over the loan term)",,Standard mortgage application documents through an OHCS-approved lender; homebuyer education completion for some down payment assistance combinations,"Apply through an OHCS-approved participating lender (not through ACCESS directly, though ACCESS can refer to a Bond-approved lender)",https://www.oregon.gov/ohcs/homeownership/Pages/index.aspx,2026-08-06,"Core structure (Rate Advantage vs. Cash Advantage, 3% grant, no fee, no prepayment penalty) verified against OHCS's own FAQ and fact sheet; specific current-year income and purchase price limits were not independently confirmed on an OHCS page and should be checked before quoting to a client","Can be combined with local down payment assistance programs (e.g., HOAP, RVAR/OAR) per multiple sources, but stacking rules should be confirmed with an OHCS-approved lender; not a program ACCESS administers directly - it's a mortgage product accessed through a private lender",800-453-5511 (OHCS general),HCS_HomeownershipLending@hcs.oregon.gov,"725 Summer St NE, Suite B, Salem, OR 97301",,"N/A - delivered through private lenders, not a direct OHCS intake",Statewide Oregon,First-time buyer generally; income/purchase-price limits vary by county; via an OHCS-approved lender,Continuous; bond-funding dependent,State (OHCS) official page,https://www.oregon.gov/ohcs/homeownership/Pages/index.aspx,Medium,0,"N/A - many private lenders, no single local partner","REWRITE NEEDED: verify FirstHome vs NextStep eligibility, current DPA percentage, credit score minimum, and Jackson/Josephine county income and purchase-price limits at oregon.gov/ohcs/homeownership/homebuyers/pages/flex-lending.aspx",2026-08-06,https://www.oregon.gov/ohcs/homeownership/pages/find-a-lender.aspx,No applicant-facing form exists - Flex Lending is arranged entirely through an OHCS-approved lender as part of mortgage origination. The link above is OHCS's live lender search tool (searchable by county); OHCS does not publish a static downloadable lender list.,"MAJOR CORRECTION 2026-08-06: the ""Oregon Bond Residential Loan / Rate Advantage / Cash Advantage"" branding appears to be retired. OHCS now presents this as Flex Lending with two products - FirstHome (first-time buyers, some veteran/targeted-area exceptions) and NextStep (open to repeat buyers, flat income cap around $125,000). Down payment assistance is now cited as 4% or 5% of the loan amount as a second mortgage, with a 620 minimum credit score - NOT the flat 3% Cash Advantage grant previously recorded. Income and purchase-price limits are set per county via tables linked from the FirstHome/NextStep pages. This row's benefit fields should be rewritten against those pages before use."
