"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"HHS-FPG","US-48","100","1","1","15960","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","2","2","21640","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","3","3","27320","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","4","4","33000","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","5","5","38680","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","6","6","44360","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","7","7","50040","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","8","8","55720","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC"
"HHS-FPG","US-48","100","9","9","61400","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC; +$5680 per person beyond 8"
"HHS-FPG","US-48","100","10","10","67080","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC; +$5680 per person beyond 8"
"HHS-FPG","US-48","100","11","11","72760","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC; +$5680 per person beyond 8"
"HHS-FPG","US-48","100","12","12","78440","2026-01-15","","","https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines","2026 HHS poverty guideline, 48 contiguous states and DC; +$5680 per person beyond 8"
