"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"HUD-MFI","OR-CLACKAMAS","30","1","1","26950","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","2","2","30800","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","3","3","34650","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","4","4","38500","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","5","5","41600","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","6","6","44700","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","7","7","47750","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","30","8","8","50850","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","50","1","1","44950","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
"HUD-MFI","OR-CLACKAMAS","50","2","2","51350","2026-06-01","","","https://www.huduser.gov/portal/datasets/home-datasets/","FY2026 HUD adjusted HOME income limits, Portland-Vancouver-Hillsboro, OR-WA MSA"
