"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"MN-SMI","MN","50","1","1","37438","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Published MN FFY2026 50% SMI"
"MN-SMI","MN","100","1","1","74876","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","2","2","48958","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Published MN FFY2026 50% SMI"
"MN-SMI","MN","100","2","2","97916","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","3","3","60478","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Published MN FFY2026 50% SMI"
"MN-SMI","MN","100","3","3","120956","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","4","4","71998","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Published MN FFY2026 50% SMI"
"MN-SMI","MN","100","4","4","143996","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","5","5","83518","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Published MN FFY2026 50% SMI"
"MN-SMI","MN","100","5","5","167036","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","6","6","95038","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Published MN FFY2026 50% SMI"
"MN-SMI","MN","100","6","6","190076","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","7","7","97197","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Derived: 135% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","7","7","194394","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","8","8","99357","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Derived: 138% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","8","8","198714","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","9","9","101517","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Derived: 141% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","9","9","203034","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","10","10","103677","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Derived: 144% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","10","10","207354","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","11","11","105837","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Derived: 147% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","11","11","211674","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","12","12","107997","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Derived: 150% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","12","12","215994","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/mnsmi.htm","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","1","1","38464","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","1","1","76928","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","2","2","50299","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","2","2","100598","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","3","3","62134","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","3","3","124268","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","4","4","73969","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","4","4","147938","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
