"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"HUD-MTSP-HERA","OR-JACKSON","20","1","1","12880","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","2","2","14720","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","3","3","16560","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","4","4","18400","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","5","5","19880","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","6","6","21360","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","7","7","22820","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","20","8","8","24300","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","1","1","19320","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","2","2","22080","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","3","3","24840","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","4","4","27600","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","5","5","29820","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","6","6","32040","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","7","7","34230","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","30","8","8","36450","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
"HUD-MTSP-HERA","OR-JACKSON","35","1","1","22540","2024-04-01","","","https://www.huduser.gov/portal/datasets/mtsp.html#data_2026","OHCS workbook, MTSP HERA Special, 2024"
