"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"OR-SMI","OR","60","1","1","38384","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","HHS published FFY2026 Oregon 60% SMI"
"OR-SMI","OR","100","1","1","63973","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","2","2","50194","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","HHS published FFY2026 Oregon 60% SMI"
"OR-SMI","OR","100","2","2","83657","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","3","3","62005","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","HHS published FFY2026 Oregon 60% SMI"
"OR-SMI","OR","100","3","3","103342","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","4","4","73816","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","HHS published FFY2026 Oregon 60% SMI"
"OR-SMI","OR","100","4","4","123027","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","5","5","85626","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","HHS published FFY2026 Oregon 60% SMI"
"OR-SMI","OR","100","5","5","142710","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","6","6","97437","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","HHS published FFY2026 Oregon 60% SMI"
"OR-SMI","OR","100","6","6","162395","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","7","7","99652","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Derived: 135% of the published 4-person figure per the HHS family-size formula"
"OR-SMI","OR","100","7","7","166087","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","8","8","101866","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Derived: 138% of the published 4-person figure per the HHS family-size formula"
"OR-SMI","OR","100","8","8","169777","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","9","9","104081","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Derived: 141% of the published 4-person figure per the HHS family-size formula"
"OR-SMI","OR","100","9","9","173468","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","10","10","106295","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Derived: 144% of the published 4-person figure per the HHS family-size formula"
"OR-SMI","OR","100","10","10","177158","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","11","11","108510","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Derived: 147% of the published 4-person figure per the HHS family-size formula"
"OR-SMI","OR","100","11","11","180850","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
"OR-SMI","OR","60","12","12","110724","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Derived: 150% of the published 4-person figure per the HHS family-size formula"
"OR-SMI","OR","100","12","12","184540","2025-10-01","2026-09-30","","https://liheapch.acf.gov/profiles/povertytables/FY2026/orsmi.htm","Full state median income, derived as the 60% figure divided by 0.6"
