standard_id,area_id,tier_pct,household_size_min,household_size_max,amount,effective_date,expires_date,variant,source_url,notes
HUD-MFI,OR-JACKSON,50,1,1,34350,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,2,2,39250,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,3,3,44150,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,4,4,49050,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,5,5,53000,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,6,6,56900,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,7,7,60850,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
HUD-MFI,OR-JACKSON,50,8,8,64750,2026-05-01,,,https://www.huduser.gov/portal/datasets/il.html,Very Low Income
USDA-502-GUARANTEED,OR-JACKSON,115,1,4,122800,2026-07-13,,guaranteed,https://www.rd.usda.gov/resources/directives/handbooks,FY2026 USDA guaranteed HB-1-3555 Appendix 5 PN 657
USDA-502-GUARANTEED,OR-JACKSON,115,5,8,162100,2026-07-13,,guaranteed,https://www.rd.usda.gov/resources/directives/handbooks,FY2026 USDA guaranteed HB-1-3555 Appendix 5 PN 657
