"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"USDA-502-GUARANTEED","MN-STEARNS","50","1","4","53550","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-STEARNS","50","5","8","70700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-STEARNS","80","1","4","85700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-STEARNS","80","5","8","113150","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-STEARNS","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-STEARNS","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-BENTON","50","1","4","53550","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-BENTON","50","5","8","70700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-BENTON","80","1","4","85700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-BENTON","80","5","8","113150","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-BENTON","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-BENTON","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, St. Cloud, MN MSA, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-SHERBURNE","50","1","4","66200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-SHERBURNE","50","5","8","87400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-SHERBURNE","80","1","4","105900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-SHERBURNE","80","5","8","139800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-SHERBURNE","115","1","4","152250","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-SHERBURNE","115","5","8","201000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-WRIGHT","50","1","4","66200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-WRIGHT","50","5","8","87400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-WRIGHT","80","1","4","105900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-WRIGHT","80","5","8","139800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-WRIGHT","115","1","4","152250","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-WRIGHT","115","5","8","201000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-ISANTI","50","1","4","66200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-ISANTI","50","5","8","87400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-ISANTI","80","1","4","105900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-ISANTI","80","5","8","139800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-ISANTI","115","1","4","152250","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-ISANTI","115","5","8","201000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CHISAGO","50","1","4","66200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CHISAGO","50","5","8","87400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CHISAGO","80","1","4","105900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CHISAGO","80","5","8","139800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CHISAGO","115","1","4","152250","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CHISAGO","115","5","8","201000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-RAMSEY","50","1","4","66200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-RAMSEY","50","5","8","87400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-RAMSEY","80","1","4","105900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-RAMSEY","80","5","8","139800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-RAMSEY","115","1","4","152250","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-RAMSEY","115","5","8","201000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Minneapolis-St. Paul - Bloomington, MN-WI HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MILLE-LACS","50","1","4","49000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Mille Lacs County, MN HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MILLE-LACS","50","5","8","64700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Mille Lacs County, MN HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MILLE-LACS","80","1","4","78400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Mille Lacs County, MN HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MILLE-LACS","80","5","8","103500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Mille Lacs County, MN HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MILLE-LACS","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Mille Lacs County, MN HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MILLE-LACS","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Mille Lacs County, MN HUD Metro FMR Area, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MORRISON","50","1","4","49000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Morrison County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MORRISON","50","5","8","64700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Morrison County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MORRISON","80","1","4","78400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Morrison County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MORRISON","80","5","8","103500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Morrison County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MORRISON","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Morrison County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-MORRISON","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Morrison County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-TODD","50","1","4","49000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Todd County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-TODD","50","5","8","64700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Todd County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-TODD","80","1","4","78400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Todd County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-TODD","80","5","8","103500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Todd County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-TODD","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Todd County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-TODD","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Todd County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANABEC","50","1","4","49000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kanabec County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANABEC","50","5","8","64700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kanabec County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANABEC","80","1","4","78400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kanabec County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANABEC","80","5","8","103500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kanabec County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANABEC","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kanabec County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANABEC","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kanabec County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CASS","50","1","4","49000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Cass County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CASS","50","5","8","64700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Cass County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CASS","80","1","4","78400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Cass County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CASS","80","5","8","103500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Cass County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CASS","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Cass County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CASS","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Cass County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANDIYOHI","50","1","4","50700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kandiyohi County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANDIYOHI","50","5","8","66950","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kandiyohi County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANDIYOHI","80","1","4","81100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kandiyohi County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANDIYOHI","80","5","8","107100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kandiyohi County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANDIYOHI","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kandiyohi County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-KANDIYOHI","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Kandiyohi County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-DOUGLAS","50","1","4","52950","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Douglas County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-DOUGLAS","50","5","8","69900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Douglas County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-DOUGLAS","80","1","4","84700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Douglas County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-DOUGLAS","80","5","8","111850","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Douglas County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-DOUGLAS","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Douglas County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-DOUGLAS","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Douglas County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CROW-WING","50","1","4","50000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Crow Wing County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CROW-WING","50","5","8","66000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Crow Wing County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CROW-WING","80","1","4","80000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Crow Wing County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CROW-WING","80","5","8","105600","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Crow Wing County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CROW-WING","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Crow Wing County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-CROW-WING","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Crow Wing County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-POPE","50","1","4","52000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Pope County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-POPE","50","5","8","68650","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Pope County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-POPE","80","1","4","83200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Pope County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-POPE","80","5","8","109850","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Pope County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-POPE","115","1","4","124800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Pope County, MN, HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","MN-POPE","115","5","8","164750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Pope County, MN, HB-1-3555 Appendix 5 PN 657"
