"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"USDA-502-GUARANTEED","OR-LINN","50","1","4","49400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Albany, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LINN","50","5","8","65250","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Albany, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LINN","80","1","4","79050","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Albany, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LINN","80","5","8","104350","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Albany, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LINN","115","1","4","122800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Albany, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LINN","115","5","8","162100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Albany, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LANE","50","1","4","49200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Eugene-Springfield, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LANE","50","5","8","64950","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Eugene-Springfield, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LANE","80","1","4","78700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Eugene-Springfield, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LANE","80","5","8","103900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Eugene-Springfield, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LANE","115","1","4","122800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Eugene-Springfield, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-LANE","115","5","8","162100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Eugene-Springfield, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JOSEPHINE","50","1","4","42400","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Grants Pass, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JOSEPHINE","50","5","8","56000","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Grants Pass, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JOSEPHINE","80","1","4","67850","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Grants Pass, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JOSEPHINE","80","5","8","89600","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Grants Pass, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JOSEPHINE","115","1","4","122800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Grants Pass, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JOSEPHINE","115","5","8","162100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Grants Pass, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JACKSON","50","1","4","49050","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Medford, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JACKSON","50","5","8","64750","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Medford, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JACKSON","80","1","4","78500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Medford, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JACKSON","80","5","8","103650","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Medford, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JACKSON","115","1","4","122800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Medford, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-JACKSON","115","5","8","162100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Medford, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","50","1","4","64150","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","50","5","8","84700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","80","1","4","102650","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","80","5","8","135500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","115","1","4","147550","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
