"State","ProgramID","Program","Category","Dataset","Standard","Tier","Area","Active","InactiveReason","SourceText"
"MN","ASSESS-DEFER-39","Hardship Special Assessment Deferral (seniors, disabled, active military)","Municipal cost deferral (statutory option)","none - no published income test","HUD-MFI","",,"True",,"'Hardship' as defined by each city's own ordinance or resolution"
"MN","BENTON-EA-16","Emergency Assistance (EA) - Families with Children - Benton County","Utility crisis fund - county cash grant","none - no published income test","HUD-MFI","",,"True",,"County-set income guidelines; must show ability to pay bills going forward"
"MN","BENTON-EGA-15","Emergency General Assistance (EGA) - Benton County","Utility crisis fund - county cash grant","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"Under 200% of the Federal Poverty Guidelines (state ceiling per LawHelp MN). Counties set their own rules beneath that ceiling. All household resources are counted and must be used first."
"MN","CAER-22","Community Aid Elk River (CAER) - Basic Needs Assistance","Emergency financial assistance (local nonprofit)","none - no published income test","HUD-MFI","",,"True",,"Need-based; no published income table"
"MN","CC-EFA-19","Catholic Charities Emergency Financial Assistance","Emergency financial assistance - DOES NOT COVER UTILITIES","none - no published income test","HUD-MFI","",,"False","Does not cover utilities","Need-based; no published income table"
"MN","CE-CONNECT-34","Central MN Coordinated Entry - 'Call to Connect'","System access point (not a funding program)","none - no published income test","HUD-MFI","",,"False","Not a funding program","None to be assessed; individual programs it refers to have their own tests"
"MN","CWR-12","Minnesota Cold Weather Rule (CWR)","Shutoff protection (NOT a payment program)","MN-SMI @ 50%","MN-SMI","50%","MN","False","Not a funding program","Household income at or below 50% State Median Income; receiving EAP automatically satisfies this"
"MN","EAP-CRISIS-02","Energy Crisis Assistance (EAP Crisis Component)","Utility crisis fund","MN-SMI @ 50%","MN-SMI","50%","MN","True",,"50% State Median Income, FFY27 (Oct 1 2026 - Sep 30 2027): 1p $38,464 / 2p $50,299 / 3p $62,134 / 4p $73,969 / 5p $85,804 / 6p $97,639 / 7p $99,858 / 8p $102,077. Monthly max: 1p $3,205 / 4p $6,164. Sizes 1-18 use 50% SMI; sizes 19-20 use 110% FPG. Eligibility is tested on the most recent ONE MONTH of gross income."
"MN","EAP-ERR-03","Energy Related Repair (ERR) - Furnace Repair/Replacement","Utility crisis fund - heating system","MN-SMI @ 50%","MN-SMI","50%","MN","True",,"50% State Median Income, FFY27 (Oct 1 2026 - Sep 30 2027): 1p $38,464 / 2p $50,299 / 3p $62,134 / 4p $73,969 / 5p $85,804 / 6p $97,639 / 7p $99,858 / 8p $102,077. Monthly max: 1p $3,205 / 4p $6,164. Sizes 1-18 use 50% SMI; sizes 19-20 use 110% FPG. Eligibility is tested on the most recent ONE MONTH of gross income."
"MN","EAP-PH-01","Energy Assistance Program (EAP) - Primary Heat Grant","Utility bill payment - heating","MN-SMI @ 50%","MN-SMI","50%","MN","True",,"50% State Median Income, FFY27 (Oct 1 2026 - Sep 30 2027): 1p $38,464 / 2p $50,299 / 3p $62,134 / 4p $73,969 / 5p $85,804 / 6p $97,639 / 7p $99,858 / 8p $102,077. Monthly max: 1p $3,205 / 4p $6,164. Sizes 1-18 use 50% SMI; sizes 19-20 use 110% FPG. Eligibility is tested on the most recent ONE MONTH of gross income."
"MN","ECE-CARING-25","Caring Members (East Central Energy)","Utility crisis fund - co-op member funded","none - no published income test","HUD-MFI","",,"True",,"Screened through Tri-CAP's energy assistance criteria"
"MN","ERMU-PAY-21","ERMU Payment Options, Budget Billing & CWR","Utility payment plan (municipal)","MN-SMI @ 50%","MN-SMI","50%","MN","True",,"Budget billing: none. CWR protection: at or below 50% State Median Income."
"MN","FHPAP-CAIRO-33","FHPAP - Center for African Immigrants and Refugee Organization (CAIRO)","Utility bill payment + housing stabilisation (homelessness prevention)","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis"
"MN","FHPAP-CC-32","FHPAP - Catholic Charities Housing Stability Division","Utility bill payment + housing stabilisation (homelessness prevention)","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis"
"MN","FHPAP-LSS-31","FHPAP - Lutheran Social Service of Minnesota","Utility bill payment + housing stabilisation (homelessness prevention)","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis"
"MN","FHPAP-RISE-30","Family Homeless Prevention & Assistance Program (FHPAP) - Rise Inc.","Utility bill payment + housing stabilisation (homelessness prevention)","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"At or below 200% of the Federal Poverty Guidelines, AND experiencing a housing crisis"
"MN","GAP-OTHER-26","Gas Affordability Program - non-Xcel gas utilities (CenterPoint, MERC, Greater MN Gas)","Utility bill discount - natural gas","none - no published income test","HUD-MFI","",,"True",,"Must be an approved EAP (LIHEAP) recipient for the current heating season"
"MN","GAP-SA-06","Gas Affordability Program (GAP) - Salvation Army administered","Utility bill discount - natural gas","none - no published income test","HUD-MFI","",,"True",,"Must be an approved EAP (LIHEAP) recipient for the current heating season"
"MN","HEATSHARE-05","HeatShare","Utility crisis fund","MN-SMI @ 50%","MN-SMI","50%","MN","True",,"At or below 50% State Median Income, plus demonstrated need"
"MN","HRA-CDBG-37","CDBG Home Rehabilitation Loan Program","Home repair - deferred zero-interest loan","none - no published income test","HUD-MFI","",,"True",,"Income-eligible per CDBG limits - confirm current table with HRA"
"MN","HRA-MHFA-38","Minnesota Housing Rehabilitation Loan Program (via St. Cloud HRA)","Home repair - deferred forgivable loan","none - no published income test","HUD-MFI","",,"True",,"Low-income limits set by Minnesota Housing - confirm current table"
"MN","LIHWAP-24","Low Income Household Water Assistance Program (LIHWAP)","Water/wastewater bill assistance - DISCONTINUED","MN-SMI @ 60%","MN-SMI","60%","MN","False","Discontinued","Formerly the greater of 150% FPL or 60% SMI"
"MN","LSS-FIN-29","LSS Financial Counseling & Community Resource Navigation","Navigation and counselling (NOT a funding program)","none - no published income test","HUD-MFI","",,"False","Not a funding program","None - free to all"
"MN","POH-41","Place of Hope Ministries - overflow shelter & homeless outreach","Crisis shelter and outreach (faith-based)","none - no published income test","HUD-MFI","",,"True",,"None - crisis-based"
"MN","ROFW-04","Reach Out For Warmth (ROFW)","Utility crisis fund","none - no published income test","HUD-MFI","",,"True",,"Moderate income - targets households over-income for EAP; local guidelines set by Tri-CAP"
"MN","SEA-PAY-20","Stearns Electric Payment Arrangement & CWR Protection","Utility payment plan (co-op)","MN-SMI @ 50%","MN-SMI","50%","MN","True",,"Payment plans: none. CWR protection: at or below 50% State Median Income."
"MN","SHERBURNE-EA-18","Emergency Assistance (EA) - Families with Children - Sherburne County","Utility crisis fund - county cash grant","none - no published income test","HUD-MFI","",,"True",,"County-set income guidelines; must show ability to pay bills going forward"
"MN","SHERBURNE-EGA-17","Emergency General Assistance (EGA) - Sherburne County","Utility crisis fund - county cash grant","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"Under 200% of the Federal Poverty Guidelines (state ceiling per LawHelp MN). Counties set their own rules beneath that ceiling. All household resources are counted and must be used first."
"MN","SSAP-SUB-27","State Soldiers Assistance Program (SSAP) - Subsistence / Financial Assistance","Utility bill payment - veterans","none - no published income test","HUD-MFI","",,"True",,"Income AND asset tested against MDVA's schedule of allowances"
"MN","STC-UB-35","City of St. Cloud Utility Billing - payment arrangements","Municipal water/sewer billing (structural - see notes)","none - no published income test","HUD-MFI","",,"True",,"None published - arrangements are discretionary"
"MN","STEARNS-EA-14","Emergency Assistance (EA) - Families with Children - Stearns County","Utility crisis fund - county cash grant","none - no published income test","HUD-MFI","",,"True",,"County-set income guidelines; must show ability to pay bills going forward"
"MN","STEARNS-EGA-13","Emergency General Assistance (EGA) - Stearns County","Utility crisis fund - county cash grant","HHS-FPG @ 200%","HHS-FPG","200%","US-48","True",,"Under 200% of the Federal Poverty Guidelines (state ceiling per LawHelp MN). Counties set their own rules beneath that ceiling. All household resources are counted and must be used first."
"MN","SVDP-40","Society of St. Vincent de Paul - parish conferences","Utility crisis fund - faith-based (LOCAL PRESENCE UNCONFIRMED)","none - no published income test","HUD-MFI","",,"True",,"Need-based; no published income table. Open to people of all backgrounds and religions."
"MN","UW211-23","United Way 211 Referral Line","Referral and navigation (not a funding program)","none - no published income test","HUD-MFI","",,"False","Not a funding program","None - open to all callers"
